,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,29670.16291,25850.69386,22971.94107,23715.48866,24054.42095,29239.50365,29596.66098,28179.8562,32094.06444,27662.44348,26334.03052,28684.93347,35812.13372,39624.86103,33852.75859,29420.63569,50567.06968,37081.44344,36824.1151,43719.84962
1,29136.8337,25715.34585,22191.51702,22823.71292,23320.54941,29029.73101,29569.97455,27850.75128,32171.32255,27250.04472,25853.05897,28002.67629,35570.63516,39013.5448,33434.09794,28870.81355,50617.08798,37258.98993,36531.36649,43321.05035
2,28703.90552,25594.66451,21383.43751,21882.92481,22440.502,28955.98303,29581.50987,27605.57268,32241.75246,26783.22608,25295.34198,27363.77436,35311.51921,38566.54193,33099.06602,28211.72408,50694.30009,37300.18781,36072.16502,43063.06706
3,28541.82245,25608.88375,20866.56435,21229.18427,21928.16109,29096.57326,29904.9573,27540.24405,32459.19323,26676.46849,24967.93284,27032.42212,35209.41433,38488.33851,33053.80761,27820.28805,50999.59169,37423.54346,35836.16187,43090.0592
4,28731.40648,25982.21316,20723.15261,20940.91298,21671.69552,29608.2286,30484.81045,27879.59352,33123.75105,26868.80254,24985.61219,27163.78166,35561.49313,38812.83556,33441.89907,27628.95568,51723.73202,37895.21229,35998.54272,43486.59007
5,29309.65531,26710.03076,20987.7524,20993.58154,21766.08143,30642.7777,31651.13633,28738.69672,34314.95351,27640.75506,25412.35066,27836.82102,36359.30711,39660.45597,34400.40585,27787.65613,52955.63426,38825.08942,36487.03565,44265.31952
6,30088.01687,27536.92383,21438.61911,21419.44043,22218.25444,31725.87481,32763.83548,29617.37128,35498.59675,28768.87887,26239.80043,28721.98443,37193.20707,40498.04385,35395.74694,28374.05729,54303.08218,39910.65557,37099.05166,45290.28824
7,30600.47154,27751.81709,21669.6808,21736.14162,22379.47475,32102.58015,33264.03165,29878.7953,36028.14567,29580.53511,26865.82072,29391.72131,37373.00193,41033.00963,36094.31165,29050.54678,55099.26744,40436.55619,37448.43534,45947.82445
8,31231.95689,27574.56082,22195.87178,22333.8581,23031.45975,32113.15682,33531.46225,29978.76193,36092.66689,30454.86027,27697.86274,30293.77811,37080.09547,41640.6511,36857.72946,29820.16826,55553.88721,40950.15823,37988.18106,46090.64298
9,32348.55299,27254.14198,23516.0526,23730.17022,24293.61806,32273.32106,33701.17066,30047.77782,35765.17423,31281.77572,28449.24983,31882.28211,36556.7499,42969.22488,38056.83571,30848.39293,56070.39046,41763.47111,39005.5326,46178.7321
10,33043.24415,26769.27358,24886.40737,25096.51046,25381.38075,32069.59447,33518.31845,29877.50794,34908.26405,31651.9375,28699.0344,33359.51517,35716.40294,44066.32427,38761.04806,31500.00404,55948.92352,42249.93783,40011.21067,46022.21019
11,33094.589,26060.84664,25566.76113,26013.7332,26359.55288,31445.04422,32961.96535,29327.85194,33582.90132,31566.62699,28659.74206,34186.78552,34678.2708,44661.9118,38880.27405,31980.15115,55277.73031,42296.6801,40405.05711,45490.27826
12,32556.9333,25203.07004,25773.85457,26424.79067,27194.76012,30394.05825,31946.95308,28542.49356,32038.68873,30931.81885,28495.01047,34155.12221,33494.30242,44636.31358,38613.15078,32272.4742,54097.79947,41879.17794,40320.72518,44600.60955
13,31774.44442,24196.2238,25681.89791,26428.37445,27715.84083,29224.83635,30898.50841,27599.98749,30502.94252,29867.9129,28095.39393,33781.07583,32257.33364,44121.72076,38104.05512,32330.77543,52638.07541,41376.30864,39905.44778,43625.86341
14,31123.38857,23549.37794,25453.2071,26217.7271,27973.86837,28190.4623,30096.88227,26797.92699,29190.77674,29056.5596,27599.0566,33400.63914,31303.90161,43529.08564,37616.30439,32273.82122,51448.20072,40991.34613,39384.85286,42757.79058
15,30993.85938,23188.9868,25218.78124,26057.56275,28095.36683,27592.08026,29650.39209,26299.80487,28356.67637,28587.68996,27354.14906,33171.80367,30843.47708,43160.88018,37480.77985,32288.18341,50789.64132,41015.88665,39038.27182,42417.51236
16,31330.52727,23255.53485,25337.16561,25997.35259,28042.62565,27721.83214,30080.58839,26234.94586,28421.76541,28783.98691,27488.13052,33902.33948,30882.15956,43462.11565,37923.55681,32320.68006,51352.31578,41842.17937,39255.08049,42760.42232
17,33288.64148,24753.64867,26721.78752,26990.36772,28711.02434,29889.0803,32675.00955,27542.80038,30565.73456,30770.09269,29255.14677,36307.8853,32571.51679,45000.50668,39874.4892,33298.33293,54211.99588,44058.74471,40736.82994,44643.92034
18,35308.87832,27294.31108,28234.30594,28637.08964,30348.83455,33040.8208,36036.4704,29729.08612,33848.92779,33806.26892,32113.25066,38422.50811,34648.7739,45777.74066,41171.12367,35091.41044,57004.47628,45400.62442,41737.74313,46301.36271
19,35452.81142,27604.19168,27982.10802,28420.33069,29887.94921,33683.84139,36832.87502,29591.7294,34666.02823,34556.3325,32539.79117,38520.57176,34621.41531,45140.24176,40901.99508,34806.31017,57297.39945,45246.04165,41273.48068,46318.01576
20,35318.39716,27747.4737,27418.13212,28099.39185,28973.28779,33981.29187,37183.20449,29088.40211,35146.89128,35011.31161,32498.22427,38288.59494,34294.99812,44357.78638,40525.07659,34061.37899,57246.95656,44844.3056,40551.18917,46024.18564
21,34474.06007,27440.08569,26547.31825,27215.92702,27896.03655,33556.73807,36821.07116,28298.70717,35217.91212,34912.78792,32223.45132,37438.05218,33782.119,43063.48741,39774.83557,33161.34002,56339.31002,43901.78062,39382.30317,45464.69184
22,32972.06075,26658.58602,25353.43874,26149.98418,26424.09662,32338.42793,35592.28467,26890.88596,34606.80354,34205.58523,31260.83911,35905.89552,32866.80517,41171.40718,38564.48428,31711.97043,54402.04123,42206.59568,37563.3057,44236.67368
23,31261.18127,25441.388,23671.73604,24531.12439,24568.08357,30920.22194,34240.08489,25159.09408,33708.19896,33305.58595,29963.88558,34209.11866,31806.21972,39144.77593,37005.2277,30108.52659,52550.80369,40494.83585,35603.63141,42919.89601
24,30288.55868,24845.19105,22111.62766,23046.20657,23025.20035,29975.62465,33424.76824,23710.81022,32995.7274,32527.30954,28939.36905,32996.02628,31187.38504,37501.72852,35639.5728,28505.90459,51180.17031,39246.74255,34151.02829,41716.42401
25,29971.28454,24622.33528,21218.70878,22023.58811,22009.48904,29588.4098,33325.38262,22901.59833,32668.92039,32177.48576,28576.54494,32506.25925,31182.56247,36419.01556,34751.63952,27488.55797,50492.67068,38577.96475,33204.50406,40873.33788
26,30109.59281,24812.72431,20738.33288,21356.26407,21526.47371,29699.15918,33618.36126,22521.57914,32697.84014,32186.05816,28589.5479,32496.3845,31704.88056,35934.14628,34190.89624,26919.20142,50220.57629,38434.14099,32658.81086,40493.86409
27,30545.70836,25274.84396,20497.08936,20993.01475,21311.29054,30209.22868,34306.00614,22516.11999,33078.97829,32571.14219,28972.14219,32977.15287,32864.29536,35954.71376,33907.21596,26832.55888,50376.20198,38830.9802,32639.9052,40463.80326
28,31522.22332,26394.58779,20738.5258,20904.41878,21532.36321,31370.62536,35626.69617,23059.52516,33806.15456,33227.53426,29917.51267,34207.04207,34717.96183,36585.8143,34180.1049,27194.66353,51246.18297,40072.09008,33313.14667,41042.98857
29,33692.21165,28604.60869,21786.36026,21103.12405,22440.55175,33840.78767,38272.89177,24465.50589,35113.86959,34345.89405,31804.14835,36734.32441,38022.27011,38191.97871,35017.06741,28087.61912,53359.28912,42485.79707,34942.49249,42195.18118
30,36776.5662,31789.75305,23621.71001,21740.36004,23893.46215,37201.0206,41809.21159,26475.36006,36728.75479,35885.84584,34346.08128,39806.82977,41872.24458,40272.24604,36244.12718,29421.88417,56175.63306,45299.72303,37070.51625,43824.63844
31,38311.99949,33779.87231,25105.99231,22484.72154,24763.98052,38896.21555,43628.6846,27814.92374,37955.35828,37128.41209,35723.75398,41723.21633,44388.16246,41701.67318,37557.22273,30365.4705,57805.27311,47420.62415,38651.45181,45320.47163
32,38437.59333,33850.02117,25940.88619,23547.88937,25704.284,38535.35275,43057.53482,28411.80781,38435.61611,37574.89436,35931.77499,42224.35188,45001.13307,42402.49114,38738.5573,31323.56563,58347.53961,48547.90705,39115.17274,45845.89056
33,38512.16348,33598.65558,27127.59973,24829.79691,26986.55765,37484.30101,41845.38708,29007.65501,37706.46406,36723.17277,35864.91162,42774.20195,45101.64587,43364.61566,40103.55345,32279.58922,58976.88051,49679.18913,39527.37248,45221.34728
34,38224.56658,33116.01052,28116.27425,25898.66951,27978.7357,36278.3138,40649.6493,29341.36448,36084.93679,35251.79528,35536.00802,42993.66514,44493.52977,44018.07305,40749.01669,33239.66376,59169.75344,50682.59113,39860.83526,43769.84752
35,37084.22378,32228.84315,28616.91616,26574.33198,28590.88215,34802.56629,39231.57804,29392.56509,34127.13671,33664.23419,34616.4303,42780.83788,43287.86752,44027.50659,40595.55384,34064.69272,58728.06836,51256.52327,39852.13862,42067.21051
36,36178.89488,31122.70228,28681.97481,26964.41412,28923.61687,33422.6253,37692.71351,29164.06232,32165.68697,32348.52918,33596.47953,42281.26543,41755.32909,43670.16135,40020.94652,34566.90178,57943.43934,51414.31386,39570.07653,40259.0222
37,35454.33894,30151.72782,28861.9051,26970.62326,29116.55764,32300.81069,36552.386,29086.32259,30482.89306,31040.72612,32448.27537,41587.56624,40252.07104,43240.36499,39036.46109,35029.38866,57341.89343,51455.22069,39319.89612,38635.81906
38,34875.32936,29268.45013,28889.63619,26794.53687,29240.39487,31430.41144,35445.3096,28920.7932,29299.18805,30022.07448,31489.86968,40900.7314,38974.62681,42769.27642,38216.89924,35405.03185,56978.44408,51263.43806,38907.99374,37481.7134
39,34809.94587,28562.5334,28902.36443,26841.07691,29293.6984,30876.71212,35181.38324,28747.38927,28723.59965,29573.35483,30989.43404,40634.60993,38286.43131,42503.03595,37920.97743,35585.88491,57030.79318,51149.18109,38571.27757,36872.22474
40,35552.2272,28578.96139,28716.66885,27095.30264,29071.24871,31098.76514,35795.60982,28584.01289,29139.2835,29932.08131,31187.38468,40944.32002,38586.97074,42636.01868,38243.33197,35508.17482,57885.45889,51381.51197,38604.13001,37106.58553
41,37758.88166,30233.97051,29427.46423,28578.00717,29708.771,33292.08756,38640.67268,29549.31331,31615.43287,32357.37914,33417.42602,43091.1933,41094.73018,43942.66176,40018.29513,35890.76543,60183.75054,52717.56394,39694.17702,38938.89741
42,40438.50938,33006.02937,30767.6975,30280.01827,31509.91426,36119.55837,42277.449,31204.10602,34650.08845,35574.80123,36684.10737,45330.53813,44599.21386,44385.8886,41322.81987,37412.10154,61948.67944,53277.1324,41077.23122,41922.3
43,40703.72339,33326.58734,30059.58558,29981.80884,31025.77701,36324.00261,42864.81906,30758.59744,35244.98341,36204.60551,37373.32823,45272.42874,45323.41432,43652.88857,41060.15578,36921.30944,61781.61366,52309.21651,40731.48065,42738.3718
44,40515.80119,33115.84683,29169.57609,29390.16785,30130.23961,36083.4863,42916.09638,29989.2554,35440.04843,36381.2544,37578.3425,44863.48157,45529.99644,42721.74776,40569.45952,35943.57833,61125.41192,51043.85213,40179.21987,43192.32683
45,39730.46119,32524.1535,28183.00702,28410.00403,28626.39596,34842.95061,41981.14966,28947.86199,34999.60592,35811.54813,37057.35669,43684.60677,44898.06353,41381.54694,39659.74081,34508.227,59549.12311,49194.02761,39226.11121,43073.29422
46,37929.15229,31092.55537,26804.84075,26877.00939,26611.17337,32777.41603,40130.06141,27520.81182,33844.90809,34249.5924,35459.70834,41554.28354,43465.44801,39593.25264,38214.58627,32283.30127,56984.7131,46628.16578,37620.04082,42322.75322
47,36052.14163,29389.74274,25062.09475,24945.30227,24444.85771,30522.39831,38090.80937,25759.44439,32501.74667,32490.82742,33774.74892,39342.55398,41927.34077,37611.25799,36511.74022,29898.28641,54990.74437,44287.42687,35828.32508,41407.98623
48,34987.65285,28367.79196,23478.25624,23299.45609,22996.6328,29165.01761,36826.54323,24090.62297,31368.91128,31376.22288,32830.23636,38074.8525,40942.7737,35851.58881,35150.46129,28269.64253,53932.17519,42470.57439,34564.61356,40618.5324
49,34737.44469,27969.75205,22322.84883,22350.99122,22268.73238,28519.92189,36410.02968,22921.96257,30621.77955,31025.27139,32613.2302,37504.17786,40661.50004,34917.54855,34305.60586,27279.2635,53706.42586,41445.49456,33758.91033,40119.31883
50,34903.49523,28095.45644,21553.87528,21792.7033,22142.51834,28351.07255,36490.35056,22174.8248,30236.9414,31038.20984,32856.84173,37295.72927,40766.75798,34292.87789,33940.87913,26878.29274,53907.18388,41061.88985,33419.49319,40080.85698
51,35402.0476,28402.01322,21060.47142,21635.50334,22333.2438,28571.27016,36920.82526,21717.63379,30222.44486,31371.28322,33551.04281,37642.56736,41436.22545,33993.74079,33960.45048,26976.52107,54627.44681,41019.87332,33529.85148,40360.32995
